id,Target
1,12.23387
2,15.159986
3,4.3925266
4,11.035586
5,10.950529
6,11.074022
7,10.468487
8,6.3125362
9,10.524977
10,9.474226
11,10.117302
12,7.085059
13,9.397034
14,10.028326
15,12.880603
16,13.796835
17,15.478535
18,5.298731
19,7.8348236
20,9.7392235
21,7.8532324
22,9.457353
23,8.804343
24,8.391237
25,13.862717
26,5.3604784
27,9.034452
28,17.68827
29,10.384382
30,13.1588
31,5.0031137
32,10.201088
33,5.1050625
34,12.179443
35,11.411344
36,6.961232
37,11.009977
38,10.406537
39,11.484369
40,8.045674
41,12.689077
42,6.8235035
43,6.993352
44,20.562393
45,5.6775866
46,8.356141
47,9.011341
48,9.241972
49,10.965643
50,7.744546
51,9.977402
52,7.97659
53,13.727315
54,10.312452
55,6.919591
56,10.707234
57,11.788219
58,10.308365
59,10.489117
60,4.9190545
61,13.417227
62,16.80871
63,5.3567104
64,15.489199
65,12.71652
66,8.913328
67,9.252018
68,6.756235
69,12.351683
70,6.598258
71,9.242048
72,9.980896
73,6.6294584
74,6.2373304
75,9.689962
76,5.9987087
77,12.792423
78,9.297224
79,8.520457
80,9.045038
81,8.918141
82,8.984021
83,10.57427
84,5.068487
85,8.329747
86,4.409691
87,9.732731
88,6.683691
89,5.2878485
90,9.587387
91,11.471392
92,9.15974
93,9.271343
94,10.904854
95,9.979473
96,8.531407
97,10.210191
98,13.193543
99,9.193435
100,9.540377
101,13.12698
102,8.61732
103,15.877245
104,8.768473
105,14.28791
106,7.556348
107,10.784809
108,7.073125
109,7.8843
110,9.361553
111,7.905964
112,14.065714
113,19.850765
114,8.060099
115,7.9804964
116,9.525343
117,9.471171
118,7.517747
119,6.4535923
120,10.159961
121,7.3319635
122,16.22051
123,12.502346
124,6.313957
125,5.722513
126,13.2766285
127,11.596039
128,11.560395
129,17.14765
130,12.29071
131,6.2360125
132,6.608964
133,4.506483
134,6.8753405
135,10.769418
136,19.150337
137,8.522657
138,9.230592
139,6.773035
140,8.142507
141,10.28661
142,6.0824213
143,11.250096
144,11.560341
145,11.14485
146,10.8468275
147,10.72287
148,8.76821
149,1.5878518
150,9.169876
151,12.011553
152,5.8259754
153,7.8597803
154,14.747335
155,10.556286
156,5.4534674
157,9.564518
158,14.03126
159,6.924551
160,10.101431
161,12.831043
162,5.3683147
163,8.131103
164,14.194637
165,9.756704
166,5.3449163
167,5.82152
168,14.959518
169,7.853607
170,13.3575535
171,4.700127
172,10.568366
173,12.446634
174,12.927195
175,5.5321646
176,9.973705
177,6.9572916
178,8.175789
179,13.821923
180,9.680588
181,8.2314825
182,7.230379
183,10.746226
184,10.415276
185,9.820586
186,10.727578
187,7.4431944
188,11.748466
189,10.180803
190,14.13936
191,9.470812
192,10.395056
193,8.158988
194,5.6006155
195,13.079998
196,5.940465
197,10.092303
198,8.150041
199,11.806876
200,6.770278
201,8.909478
202,11.748711
203,10.587748
204,6.1365747
205,8.504822
206,7.3029203
207,6.983567
208,7.84165
209,15.941547
210,7.442272
211,9.853506
212,6.2977905
213,8.488776
214,10.28446
215,7.427088
216,9.719974
217,9.501009
218,13.757537
219,5.946292
220,7.391404
221,4.691277
222,16.014236
223,14.768822
224,4.7497063
225,12.20632
226,5.4028044
227,9.695533
228,6.992465
229,7.5601063
230,10.30385
231,10.71576
232,6.408123
233,6.3096
234,11.90086
235,11.928927
236,4.6068964
237,8.48436
238,9.9200325
239,11.06197
240,11.866308
241,8.869142
242,13.434787
243,7.308751
244,3.8007724
245,10.098023
246,12.277716
247,14.124413
248,10.025448
249,4.795579
250,11.73332
251,8.906768
252,6.115571
253,9.249821
254,14.217495
255,10.795696
256,6.2058134
257,8.190063
258,9.855831
259,5.0598307
260,6.7602396
261,9.1325865
262,10.239905
263,20.287952
264,12.374502
265,1.5840716
266,8.968747
267,10.657013
268,6.448001
269,5.708146
270,15.071871
271,14.557539
272,6.1275845
273,14.236407
274,12.883875
275,8.856011
276,13.884776
277,14.249707
278,18.902735
279,6.6677876
280,10.49587
281,3.4641955
282,9.688389
283,4.5652876
